INFO 2025-04-28 20:59:59,036 tests 3208 31192 Setting up base test data
INFO 2025-04-28 20:59:59,724 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 20:59:59,726 tests 3208 31192 Running test: test_team_loading_endpoint
INFO 2025-04-28 20:59:59,918 tests 3208 31192 Setting up base test data
INFO 2025-04-28 21:00:00,627 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 21:00:00,628 tests 3208 31192 Setting up AdminTests
INFO 2025-04-28 21:00:00,628 tests 3208 31192 Running test: test_admin_access_permissions
INFO 2025-04-28 21:00:01,008 tests 3208 31192 Setting up AdminTests
INFO 2025-04-28 21:00:01,009 tests 3208 31192 Running test: test_login_page_access
INFO 2025-04-28 21:00:01,023 tests 3208 31192 Setting up base test data
INFO 2025-04-28 21:00:01,725 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 21:00:01,725 tests 3208 31192 Running test: test_user_without_team_view_access
INFO 2025-04-28 21:00:02,082 tests 3208 31192 Running test: test_voting_on_closed_session
INFO 2025-04-28 21:00:02,261 tests 3208 31192 Setting up base test data
INFO 2025-04-28 21:00:02,943 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 21:00:02,943 tests 3208 31192 Running test: test_invalid_team_selection
INFO 2025-04-28 21:00:02,956 tests 3208 31192 Running test: test_password_mismatch
INFO 2025-04-28 21:00:02,963 tests 3208 31192 Running test: test_valid_registration_form
INFO 2025-04-28 21:00:02,971 tests 3208 31192 Setting up base test data
INFO 2025-04-28 21:00:03,674 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 21:00:03,675 tests 3208 31192 Running test: test_department_str_representation
INFO 2025-04-28 21:00:03,676 tests 3208 31192 Running test: test_health_card_str_representation
INFO 2025-04-28 21:00:03,679 tests 3208 31192 Running test: test_session_str_representation
INFO 2025-04-28 21:00:03,682 tests 3208 31192 Running test: test_team_str_representation
INFO 2025-04-28 21:00:03,684 tests 3208 31192 Running test: test_user_creation
INFO 2025-04-28 21:00:03,858 tests 3208 31192 Running test: test_vote_str_representation
INFO 2025-04-28 21:00:03,863 tests 3208 31192 Running test: test_vote_uniqueness_constraint
INFO 2025-04-28 21:00:03,869 tests 3208 31192 Setting up base test data
INFO 2025-04-28 21:00:04,558 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 21:00:04,558 tests 3208 31192 Running test: test_health_card_status
INFO 2025-04-28 21:00:04,561 tests 3208 31192 Running test: test_session_status
INFO 2025-04-28 21:00:04,564 tests 3208 31192 Running test: test_team_department_relationship
INFO 2025-04-28 21:00:04,569 tests 3208 31192 Running test: test_user_role_permissions
INFO 2025-04-28 21:00:04,575 tests 3208 31192 Setting up base test data
INFO 2025-04-28 21:00:05,260 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 21:00:05,260 tests 3208 31192 Running test: test_authentication_required
INFO 2025-04-28 21:00:05,265 tests 3208 31192 Running test: test_xss_protection_in_comments
INFO 2025-04-28 21:00:05,447 tests 3208 31192 Setting up base test data
INFO 2025-04-28 21:00:06,139 tests 3208 31192 Base test data setup complete
INFO 2025-04-28 21:00:06,139 tests 3208 31192 Setting up ViewTests
INFO 2025-04-28 21:00:06,140 tests 3208 31192 Running test: test_anonymous_user_redirect
INFO 2025-04-28 21:00:06,146 tests 3208 31192 Setting up ViewTests
INFO 2025-04-28 21:00:06,146 tests 3208 31192 Running test: test_department_summary_access_allowed
INFO 2025-04-28 21:00:06,350 tests 3208 31192 Setting up ViewTests
INFO 2025-04-28 21:00:06,350 tests 3208 31192 Running test: test_department_summary_access_denied
INFO 2025-04-28 21:00:06,538 tests 3208 31192 Setting up ViewTests
INFO 2025-04-28 21:00:06,538 tests 3208 31192 Running test: test_engineer_dashboard_access
INFO 2025-04-28 21:00:06,718 tests 3208 31192 Setting up ViewTests
INFO 2025-04-28 21:00:06,718 tests 3208 31192 Running test: test_team_summary_access_permissions
INFO 2025-04-28 21:00:06,911 tests 3208 31192 Setting up ViewTests
INFO 2025-04-28 21:00:06,911 tests 3208 31192 Running test: test_vote_submission_process
INFO 2025-04-28 21:00:07,108 tests 3208 31192 Setting up PerformanceTests
INFO 2025-04-28 21:00:07,120 tests 3208 31192 PerformanceTests setup complete
INFO 2025-04-28 21:00:07,120 tests 3208 31192 Running test: test_vote_basic_performance
INFO 2025-04-28 21:23:41,282 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:41,990 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:41,991 tests 24776 11248 Running test: test_team_loading_endpoint
INFO 2025-04-28 21:23:42,176 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:42,873 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:42,874 tests 24776 11248 Setting up AdminTests
INFO 2025-04-28 21:23:42,874 tests 24776 11248 Running test: test_admin_access_permissions
INFO 2025-04-28 21:23:43,251 tests 24776 11248 Setting up AdminTests
INFO 2025-04-28 21:23:43,251 tests 24776 11248 Running test: test_login_page_access
INFO 2025-04-28 21:23:43,268 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:44,013 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:44,014 tests 24776 11248 Running test: test_user_without_team_view_access
INFO 2025-04-28 21:23:44,374 tests 24776 11248 Running test: test_voting_on_closed_session
INFO 2025-04-28 21:23:44,553 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:45,252 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:45,253 tests 24776 11248 Running test: test_invalid_team_selection
INFO 2025-04-28 21:23:45,267 tests 24776 11248 Running test: test_password_mismatch
INFO 2025-04-28 21:23:45,276 tests 24776 11248 Running test: test_valid_registration_form
INFO 2025-04-28 21:23:45,295 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:45,990 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:45,991 tests 24776 11248 Running test: test_department_str_representation
INFO 2025-04-28 21:23:45,994 tests 24776 11248 Running test: test_health_card_str_representation
INFO 2025-04-28 21:23:45,996 tests 24776 11248 Running test: test_session_str_representation
INFO 2025-04-28 21:23:46,001 tests 24776 11248 Running test: test_team_str_representation
INFO 2025-04-28 21:23:46,003 tests 24776 11248 Running test: test_user_creation
INFO 2025-04-28 21:23:46,173 tests 24776 11248 Running test: test_vote_str_representation
INFO 2025-04-28 21:23:46,177 tests 24776 11248 Running test: test_vote_uniqueness_constraint
INFO 2025-04-28 21:23:46,183 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:46,879 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:46,879 tests 24776 11248 Running test: test_health_card_status
INFO 2025-04-28 21:23:46,881 tests 24776 11248 Running test: test_session_status
INFO 2025-04-28 21:23:46,884 tests 24776 11248 Running test: test_team_department_relationship
INFO 2025-04-28 21:23:46,888 tests 24776 11248 Running test: test_user_role_permissions
INFO 2025-04-28 21:23:46,893 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:47,587 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:47,588 tests 24776 11248 Running test: test_authentication_required
INFO 2025-04-28 21:23:47,592 tests 24776 11248 Running test: test_xss_protection_in_comments
INFO 2025-04-28 21:23:47,773 tests 24776 11248 Setting up base test data
INFO 2025-04-28 21:23:48,472 tests 24776 11248 Base test data setup complete
INFO 2025-04-28 21:23:48,472 tests 24776 11248 Setting up ViewTests
INFO 2025-04-28 21:23:48,474 tests 24776 11248 Running test: test_anonymous_user_redirect
INFO 2025-04-28 21:23:48,480 tests 24776 11248 Setting up ViewTests
INFO 2025-04-28 21:23:48,480 tests 24776 11248 Running test: test_department_summary_access_allowed
INFO 2025-04-28 21:23:48,676 tests 24776 11248 Setting up ViewTests
INFO 2025-04-28 21:23:48,676 tests 24776 11248 Running test: test_department_summary_access_denied
